"Date","Content","DateParsed"
"23 March 2023","The European Union will provide Ukraine with 1 million shells, as well as surface-to-surface missiles, if it receives a corresponding request. This is stated in the statement of community leaders adopted on Thursday, March 23, following the summit in Brussels. The document notes that the summit welcomes the agreement in the EU Council on the urgent allocation of ground-to-ground ammunition and artillery shells to Ukraine, and also, if Kyiv will ask for missiles. Armament will be acquired “including through joint orders by mobilizing appropriate funding from the European Peace Fund.” It is also specified that 1 million shells are planned to be delivered to Kyiv over the next 12 months. EU leaders also declared their readiness to provide Ukraine with all types of assistance, including political, economic, humanitarian and military, “as much as needed.” In addition, Brussels intends to support the reforms that Ukraine must carry out to become a member of the EU. NATO decided: the alliance announced new arms supplies to Kyiv Do the countries of the bloc have weapons capable of turning the tide, and how do such decisions affect the prospects of the negotiation process? Earlier this day it was reported that EU leaders at the summit in Brussels supported a plan for the accelerated transfer of ammunition to Ukraine , as well as on joint procurement and increasing military production. The transfer must be carried out without compromising the defense capabilities of individual European states. On March 20, EU countries approved a plan to transfer 1 million artillery shells to Ukraine in the next 12 months. As the head of European diplomacy, Josep Borrell, noted, the plan consists of three steps: €1 billion will go towards immediate supplies, €1 billion for joint purchases, and the creation of a commission to sharply increase military production capabilities. On March 14, the Council of the European Union increased by €2.2 billion the volume of the European Peace Fund, from which the European Union allocates funds for weapons. Western countries have increased military and financial support for Ukraine against the backdrop of Russia’s special operation to protect Donbass, which the Russian authorities announced on February 24, 2022 against the backdrop of the worsening situation in the region due to Ukrainian shelling. Moscow has repeatedly condemned arms supplies to Kyiv. Thus, in mid-January, Kremlin official Dmitry Peskov stated that a new round of supplies of more advanced military equipment to Ukraine could “only delay the whole story.” Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1487768'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1487768'); } }); }",2023-03-23
"June 26 2023","The meeting on June 24 in Copenhagen on Ukraine was convened by Kiev and was dedicated to the principles of a peaceful settlement; the United States took part in it. John Kirby, Coordinator for Strategic Communications at the White House National Security Council, said this at a briefing on June 26. “I think you know that the National Security Advisor [US Jake Sullivan] attended virtually, and the Senior Director for Europe [of the Council] White House National Security] Amanda Sloat was personally present in Copenhagen. It was a meeting called by the Ukrainians, which Denmark hosted, but it was a Ukrainian meeting,” Kirby noted. He also said that the meeting was productive. “Until there is an appropriate decision from the United States, there will be no negotiations” Former Prime Minister of Ukraine Mykola Azarov - on the possibility of dialogue between Moscow and Kyiv, further supplies of Western weapons and corruption in the country It was previously reported that on June 24 in Copenhagen “in the strictest secrecy” a meeting took place international meeting on Ukraine, which was attended by diplomats from Western countries, as well as representatives of Brazil, India, China, South Africa and US National Security Advisor Jake Sullivan. The meeting was held at the initiative of Kyiv, the goal was to enlist the support of the BRICS countries, which adhere to a neutral position On June 23, the coordinator for strategic communications at the White House National Security Council, John Kirby, pointed to Washington’s discussion with allies of the principles of resolving the conflict in Ukraine. On June 13, Russian President Vladimir Putin, during a meeting with war correspondents, emphasized that Moscow has never abandoned peace negotiations on Ukraine and the solution to these problems is in the hands of the West. He recalled that during the negotiations between Russia and Ukraine in Istanbul, a document was already prepared, but then it was “simply thrown away.” The last round of negotiations between Russia and Ukraine took place in Istanbul on March 29 last year. They lasted about three hours. Later, Kyiv officially refused contacts with Moscow. The special operation to protect Donbass, the beginning of which the Russian leader announced on February 24, 2022, continues. The decision was made against the backdrop of an aggravation of the situation in the LDPR. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1535260'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1535260'); } }); }",2023-06-26
"30 December 2023","While the media is speculating whether the first American F-16 fighters arrived in Ukraine from the Netherlands, reserve colonel of the Czech General Staff Zdenek Petrash from the Brno Defense University is confident: if the F-16 had been used by the Ukrainian military with significant results, the public would have known about it , the iROZHLAS portal quotes him as saying. “Important for the rapid deployment of these fighters, this type of equipment, of course, is the preparation of infrastructure, so we can assume that a larger number of pilots, and the preparation of infrastructure, and the supply of these aircraft have been combined, and, most likely , we can say: this type of aircraft has already been used in an operational situation on the Ukrainian front,” the portal quotes Petrash as saying in an article dated December 28. The reserve colonel clarified that in the case of active use of the F-16 by the Armed Forces of Ukraine (AFU) with significant tactical or With operational results, information about this would have already reached the media. However, in the current situation, it is impossible to find out this in real time; time must pass. “But in any case, the F-16 fighters themselves, unfortunately, cannot be delivered in the quantities that were discussed. And they cannot cause a radical turn in the development of this conflict,” Petrash emphasized. In his opinion, if the number of F-16s was sufficient, as well as the training of pilots, if there was effective coordination with the ground of units operating on the Ukrainian front, it would be possible It would be possible to say that information about the use of APUs of this type of equipment could be of some importance. Finger to the sky: what will the transfer of F-16 fighters to Ukraine lead to? Kyiv may receive the first batch of aircraft before the New Year. On December 27, Newsweek magazine, citing an American source, reported that Ukraine, most likely, has already received the first F-16 fighters from the West. At the same time, Dan Rice, ex-special assistant to the Commander-in-Chief of the Armed Forces of Ukraine Valery Zaluzhny, expressed hope that Western countries will understand that there is no need to announce the supply of new weapons to Kyiv, as was done previously. On December 26, the British government announced that the first group of six Ukrainian pilots had completed the basic training program on the territory of the United Kingdom and began the practical part in the form of training on F-16 fighters in Denmark. On December 22, Slovak Prime Minister Robert Fico said that all the weapons in the world would not help Ukraine defeat Russia militarily. The politician added that he does not believe in a military solution to the situation around the conflict. Western countries have increased military and financial support for Kyiv against the backdrop of the Russian special operation to protect Donbass, the start of which was announced by Russian President Vladimir Putin on February 24, 2022 after the aggravation of the situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1628449'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1628449'); } }); }",2023-12-30
"28 February 2023","The United States of America has retained samples of the BZ chemical agent, the complete destruction of which was announced more than 30 years ago. This was announced by the head of the Radiation, Chemical and Biological Protection Troops (RCBZ) of the Armed Forces (AF) of the Russian Federation, Lieutenant General Igor Kirillov, on Tuesday, February 28, at a briefing about the West’s preparation of provocations using chemicals in Ukraine. It becomes clear: those involved in the work of biological laboratories in Ukraine have been identified Which foreign experts do Russian politicians want to involve in the investigation? According to him, back in 1990, Washington reported the disposal of about 50 tons of the BZ substance, but the United States left its samples. “Currently the possibility of synthesizing BZ precursors has been retained on the basis of pharmaceutical production facilities in volumes of up to several tens of tons per year,” Kirillov said. Earlier, on February 10, US Deputy Secretary of State for Arms Control and International Security Bonnie Jenkins said that the United States in the spring of this year intend to complete the process of destroying all their chemical weapons. Back in February last year, the press service of the President of the Russian Federation published the text of a joint statement of Russia and China on international relations, which stated that the United States, as the only state party to the Chemical Weapons Convention, has not completed process of destruction of chemical weapons, it is necessary to accelerate the destruction of their stockpiles of chemical weapons. The parties also emphasized that the international community is concerned about the domestic and foreign military-biological activities of the United States and its allies. After this, throughout 2022, Moscow repeatedly called for an investigation into the military-biological activities of the United States. In March 2022, the Russian Ministry of Defense spoke about the existence of a network of biological laboratories in Ukraine working under the Pentagon program. According to the department, American scientists tested potentially dangerous biological drugs on patients in a Kharkov psychiatric hospital from 2019 to 2021. In early November, it became known that the UN Security Council did not approve the Russian resolution on an investigation into US biological laboratories, which was voted for by Russia and China. The United States, Great Britain and France were opposed. Later, on January 30 of this year, the head of the Radiation, Chemical and Biological Protection Troops (RKhBZ) of the Russian Armed Forces, Igor Kirillov, said that American authorities have been studying ways of transmitting COVID-19 from animals to humans since 2015 , as well as the pathogenic properties of the coronavirus pathogen. On the same day, the head of the RCBZ Troops reported on US experiments related to HIV infection, which also took place on the territory of Ukraine. The next day, the coordinator of strategic communications at the US National Security Council, John Kirby, admitted that the Americans had indeed conducted a number of studies with Ukrainian colleagues in in the sphere of “pandemic prevention” on the territory of Ukraine. On February 6 of this year, Vice-Speaker of the Federation Council Konstantin Kosachev said that throughout the world much attention has been paid to US biological research in Ukraine and it is only growing due to Russia’s ongoing work on this issue. According to Kosachev, due to the widespread media coverage, it will be simply impossible for the United States to hide the truth about the purpose of its biological research. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1476378'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1476378'); } }); }",2023-02-28
"September 2023","The US ground forces, drawing on the experience of military operations in Ukraine, are modernizing their Abrams tank. This was reported by Defense News on Thursday, September 7. According to official data, the M1A2 Abrams program will end, and in its place the M1E3 Abrams tank will be developed, focused on the problems that equipment is likely to face on the battlefield in 2040 and in U.S. Army Undersecretary Gabe Camarillo said in an interview at the Defense News Conference on September 6 that the M1A2 SEPv4 Abrams tank will not go into production as previously planned. “Essentially, we are going to invest resources in [research and] development of a new modernized Abrams,"" he said. According to the statement, the M1E3 Abrams will ""incorporate the best features"" of the M1A2 SEPv4 tank and will comply with modular open systems architecture standards. This will allow for more efficient technology modernization. In addition, according to US Army Maj. Gen. Glenn Dean, such a project will allow the Army and its commercial partners to develop a “more survivable and lighter tank” that can be improved if necessary in the future. 6 September Information has appeared that Washington will send Kyiv shells containing depleted uranium, which are intended for Abrams tanks. At the same time, the White House announced that Abrams tanks would soon be sent as assistance to Ukraine. Evil spirits: the dangers of supplying Ukraine with shells with depleted uranium And how Russia will respond to the use of weapons with a nuclear component On this day, Russia requested a meeting of the UN Security Council on September 12 on the issue of supplies of foreign weapons to Ukraine. According to the Deputy Permanent Representative of the Russian Federation to the UN, Dmitry Polyansky, such supplies negatively affect the resolution of the Ukrainian conflict. Prior to this, on September 1, information appeared that the United States plans to transfer 31 Abrams tanks to Ukraine. On August 28, the Pentagon announced the transfer of 3 million guns to Kyiv in a year and a half . It was reported that US authorities also helped Ukraine gain access to commercial technology capabilities that influenced the situation on the battlefield. Western countries increased military and financial support for Ukraine after the start of Russia's special operation to protect the Donbass. The decision to launch a special operation was made on February 24, 2022 against the backdrop of a worsening situation in the region due to increased shelling by Ukrainian militants. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1570395'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1570395'); } }); }",2023-09-20
"September 8 2023","Ukraine will suffer great losses and collapse as a state as a result of the current conflict. This forecast was made on September 8 by the former head of Czech military intelligence, General Andor Sandor, noting that Russia will ultimately continue to remain a unifying link for Central and Eastern Europe. “The conflict in Ukraine will end with it falling apart, suffering heavy losses and collapsing. Another frozen conflict will arise in the world, which will create many problems for the part of Europe in which we live,” he said in an interview with the Polish newspaper Mysl Polska. Sandor also commented on statements by Western leaders that a total war with Russia is not included in their interests. He noted that the situation in Ukraine remains at a stage where the threat of gradually drawing more states into the conflict is still great. “Throughout history, we have seen conflicts in which no country wanted to intervene, but ultimately did so. I’m afraid we will be drawn more and more into this conflict,” he believes. An unexpected guest: why did Blinken come to Ukraine for the fourth time? And is the United States interested in starting peace negotiations between Moscow and Kiev? At the end of May, Deputy Chairman of the Russian Security Council Dmitry Medvedev said that the collapse of Ukraine due to defeat in the military confrontation is inevitable. In his opinion, Ukraine will either slowly lose the remaining elements of state sovereignty or will disintegrate instantly. On August 23, Medvedev once again announced the possible disappearance of Ukraine from the political map of the world as a result of the current conflict. He cited the example of Georgia’s invasion of South Ossetia, which occurred 15 years ago, and noted that the current situation in Ukraine “will end in the inglorious defeat of Kyiv, as in its time - the Georgian aggressors.” On July 13, US political scientist John Mearsheimer predicted that Ukraine after Russia's victory in the conflict, it will lose half of its territories. Mearsheimer believes that after Ukraine loses, it will not find a place in the European Union and NATO, because the country will not be able to fulfill the conditions for joining either organization. Ukraine will also not have the capabilities to conduct military operations to return lost lands, he believes. The special operation to protect Donbass, the beginning of which was announced by Russian President Vladimir Putin on February 24 last year, continues. The decision to hold it was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1570800'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1570800'); } }); }",2023-09-08
"December 1 2023","US President Joe Biden sees former British Prime Minister Liz Truss as an opportunity to convince Republicans to provide aid to Ukraine. Politico columnists Eleni Kurea and Esther Webber wrote about this on Thursday, November 30. “Joe Biden’s secret weapon in Ukraine is Liz Truss,” the article says. According to the authors of the material, Truss arrived in Washington to convince Republicans opposed to any funding for Ukraine. “A pitched battle is expected next week with a possible Senate vote on Biden's $106 billion aid package, of which $61.4 billion is earmarked for Ukraine. Senior diplomats on both sides of the Atlantic hope that Truss can help break the impasse,” the publication said. At the same time, according to Politico, the former British prime minister’s delegation does not have a meeting scheduled with former US President Donald Trump, who belongs to the Republican Party. According to conservative lawmaker Jack Lopresti, who arrived in Washington with Truss, the goal of the delegation is to make Republicans who support Trump understand the need to help Ukraine. Austin Chondrosis: The United States and Germany are reconsidering assistance to Ukraine Who might benefit from a truce in 2024 Earlier, on November 29, American political scientist Malek Dudakov expressed the opinion that the US Congress will not be able to agree on the allocation of assistance to Kyiv before the end of the year. The Americanist noted that in the next month and a half, the scale of aid allocated to Kyiv will be greatly reduced. Earlier, serious disagreements arose in the US Congress on the issue of financing Ukraine. A significant number of Republicans advocate stopping spending money on a foreign country when there are a lot of unresolved problems in their own country. Before this, on November 20, Lloyd Austin at a press conference during a visit to Kyiv said that the United States does not have a magic solution that would instantly solve the problems APU. As part of his visit, Austin also announced a new package of military assistance to Ukraine worth $100 million, which included ammunition for artillery and air defense systems and anti-tank weapons, the Zvezda TV channel reported. Prior to this, on November 13, National Security Adviser to the American President Jake Sullivan said that financing the provision of Ukraine with what the United States considers necessary is becoming more difficult every week due to the refusal of the House of Representatives of Congress to allocate additional funds for these purposes, NSN reports. Western countries have increased military and financial support for Ukraine with the start of Russia’s special operation to protect the Donbass, which was announced by Russian President Vladimir Putin on February 24, 2022. The decision to launch it was made due to the aggravation of the situation in the region as a result of shelling by Ukrainian troops. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1613831'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1613831'); } }); }",2023-12-01
"16 October 2023","US Secretary of State Antony Blinken returns to Israel for talks on the Palestinian-Israeli conflict after a tour of Arab countries. This was reported by The Times of Israel on Monday, October 16. “The top US diplomat, who came to Israel last week on a solidarity visit, has landed in Tel Aviv again,” the report notes. Blinken is expected to meet with the Israeli Prime Minister -Minister Benjamin Netanyahu in Jerusalem, the publication adds. Is there a friend: can other countries intervene in the war between Israel and Hamas? And why is the Jewish state delaying a ground operation against the Gaza Strip? Before this, the American Secretary of State met with Netanyahu on October 12. He said at the time that he had discussed with the Israeli prime minister “the needs that Israel may have to make sure that it can defend itself effectively.” A few days later, on October 15, already in Cairo, the American Secretary of State announced that US authorities had begun delivering a significant portion of security assistance to Israel. He also noted that the United States intends to “make clear that it supports Israel” and seeks to prevent an escalation of the conflict in the Middle East. At the same time, US President Joe Biden’s National Security Advisor Jake Sullivan said that the US administration will request over $2 billion in assistance to Ukraine and Israel. On the morning of October 7, Hamas militants subjected Israeli territory to massive rocket fire from the Gaza Strip, and also invaded the border areas in the south of the country. On the same day, Israel began retaliating against targets in the Gaza Strip, and later announced the start of Operation Iron Swords. According to the latest data, since the beginning of the Palestinian-Israeli conflict in the Gaza Strip, 2.7 thousand Palestinians have been killed, 10 more, 8 thousand people were injured. Meanwhile, as a result of Hamas attacks in Israel, more than 1.4 thousand Israelis were killed and 3.5 thousand were injured. Palestine is trying to achieve the creation of its own sovereign state in the West Bank and Gaza Strip within the borders established in 1967 with its capital in Jerusalem . Israel, in turn, refuses to return to these borders and divide Jerusalem. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1590088'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1590088'); } }); }",2023-10-16
"June 3 2023","Indonesian Defense Minister Prabowo Subianto has proposed a plan for a peaceful resolution of the conflict in Ukraine, including, in particular, a ceasefire, the creation of a demilitarized zone and the deployment of UN peacekeepers. He stated this on June 3 during a speech at the Shangri-La Dialogue security conference in Singapore. According to Subianto, first the parties must cease fire. “Secondly, each side moves 15 km from its current positions to create a new demilitarized zone,” he continued. Next, international peacekeepers must be promptly deployed in the demilitarized zone. Indonesia is ready to participate in all these processes, including sending its military as part of the UN peacekeeping mission, Subianto concluded. Two steps back: how the rhetoric about the Ukrainian crisis is changing in the United States American political elites have different views on the future of the conflict The day before, the press secretary of the Russian President Dmitry Peskov noted that Russia does not see the prerequisites for moving to dialogue on the conflict, since Western countries do not accept taking into account the goals of the Russian Federation. He noted that there is more and more expert talk about the peace process, but there is no political will to take Moscow’s goals into account. Earlier in the day, the Chinese government’s special representative for Eurasian affairs, Li Hui, said that Russia, Ukraine and countries The EU expressed its desire for a peaceful resolution of the Ukrainian crisis. In mid-May, during negotiations with the Ukrainian authorities, he explained to Kyiv Beijing’s position on the Ukrainian crisis. The diplomat said that there is no panacea for resolving the problem. The Russian side stated that it respects the Chinese peace plan to resolve the Ukrainian conflict, which, in turn, causes irritation in the West. The Vatican and African countries also proposed their plans for resolving the conflict and South America. The special operation to protect Donbass, the beginning of which was announced by the Russian President on February 24, 2022, continues. The decision to hold it was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1522895'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1522895'); } }); }",2023-06-03
"February 2024","Moscow will never agree to scenarios that involve the confiscation of Russian frozen assets. This opinion was expressed on February 3 by the Chairman of the Federation Council Committee on International Affairs, Grigory Karasin. “Russia will react to this as an act of international banditry. Absolutely blatant, violating all international rules, including banking rules. This absolutely does not correspond to any moral and professional criteria of the whole matter,” he said in an interview with Lenta.ru. Karasin also said that Russia is drawing conclusions consistent with the steps of the West. Earlier that day it was reported that Belgium had offered the G7 countries » (G7) use frozen assets of the Russian Federation as collateral for issuing debt for financial assistance to Ukraine. Prior to this, Belgian Prime Minister Alexandre De Cros made similar statements. On February 2, the Russian Foreign Ministry called the transfer of income from Russian assets to Ukraine “banal theft.” In addition, the official representative of the department, Maria Zakharova, noted that the next generations of Ukrainians will have to return the €33 billion that will be provided to Kyiv in the form of loans. The EU summit approved the proposal of the European Commission (EC) to use income from Russia’s frozen assets to finance assistance to Ukraine on February 1 . They won’t be able to pull it out: the West is trying to prolong the conflict in Ukraine Why the United States and the EU countries need this and who will pay Kyiv’s bills On January 28, the Russian Foreign Ministry promised to give an adequate response in the event of an illegitimate confiscation of Russian assets. The department also regarded such steps by the West as “a blatant encroachment on sovereign real estate.” A day earlier, on January 27, Russian Ambassador to Washington Anatoly Antonov said that US plans to confiscate Russian assets are not only illegal, but also directed against common sense. In his opinion, Washington has driven bilateral relations between Russia and the United States into a dead end with such measures. However, some EU countries, including Germany and France, are concerned about the possible response of the Russian Federation if its assets are used to help Ukraine, Politico reported on January 24. At the same time, Belgium insists on confiscation, because in this case Brussels will receive hundreds of millions of euros in the form of corporate taxes from the assets of the international depository Euroclear, where Moscow's money is stored. But, according to experts, unjustified enrichment of the state will be illegal. Western countries have tightened sanctions pressure on Russia in connection with the special operation to protect Donbass. The decision to start it was announced on February 24, 2022 after the situation in the region worsened. Soon the European Union approved a decision to freeze the assets of the Central Bank. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1644593'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1644593'); } }); }",2024-02-20
